id,name,email,language_id,description,latitude,longitude,type_id,subtype_id,subtype_google,phone_number,website_address,from_google_place,valid,created_at,updated_at,address,image_file_name,image_content_type,image_file_size,image_updated_at
23,Barreira do Inferno,clbi@clbi.cta.br,2,"Inaugurada em 1965, foi o primeiro centro de lançamentos de foguetes da América do Sul.",-5.9235,-35.16833299999996,10,31,,(84) 3216-1400,www.clbi.cta.br,true,true,2016-03-28T12:43:11.219Z,2016-03-28T12:43:11.219Z,"Rodovia RN 063 - Km 11 CEP: 59140-970 RN, Brasil",resource,image/jpeg,290132,2016-03-28T12:43:10.816Z
26,Bello Mare Hotel,reservas@bellomare.com.br,1,"The hotel has a good location, and it's close to the best restaurants in Ponta Negra and the beach.",-5.86253,-35.19028100000003,5,2,,(84) 4006-4202,www.bellomare.com.br,true,true,2016-03-28T12:43:14.618Z,2016-03-28T12:43:14.618Z,"Pituba, 3165, Praia de Ponta Negra, 59.090-178 Natal - RN, Brasil",resource,image/jpeg,28828,2016-03-28T12:43:14.422Z
33,Real Rent a Car,,1,Car rental service in Natal,-5.869844,-35.182000000000016,2,85,,(84) 3236-4300,,true,true,2016-03-28T12:43:20.179Z,2016-03-28T12:43:20.179Z,"A, Avenida Praia de Ponta Negra, 8924 - Ponta Negra, Natal - RN, Brasil",resource,image/jpeg,14607,2016-03-28T12:43:20.047Z
37,Tábua de Carne Restaurante,,2,"Um dos mais tradicionais da cidade, o restaurante oferece um ótimo serviço, conforto e cardápio regional especial. Fecha diariamente das 16:00 às 18:30. Veja no site os detalhes da filial, na Via Costeira.",-5.879094,-35.175363000000004,9,87,,(84) 3642-1236,www.tabuadecarne.com.br,true,true,2016-03-28T12:43:25.078Z,2016-03-28T12:43:25.078Z,"Av. Eng. Roberto Freire, 3241 - Ponta Negra, Natal - RN, Brazil",resource,image/jpeg,53548,2016-03-28T12:43:24.909Z
43,Forte dos Reis Magos,,2,"A Fortaleza dos Reis Magos,  é uma edificação militar histórica e o monumento mais antigo de Natal. Recebeu esse nome em função da data de início da sua construção,6 de janeiro de 1598, dia de Reis pelo calendário católico. É administrada pelo Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN). Localizada na Praia do Forte",-5.756522,-35.19498299999998,10,101,,(84) 3211-6166,portal.iphan.gov.br,true,true,2016-03-28T12:43:38.750Z,2016-03-28T12:43:38.750Z,"Av. Presidente Café Filho,  - Praia do Meio,Natal - RN,59010-000",resource,image/jpeg,6609023,2016-03-28T12:43:36.355Z
41,Hiper Ponta Negra,,1,Walmart supermarket in the south zone of the city.,-5.850242,-35.207633999999985,4,1,,(84) 3646-8000,,true,true,2016-03-28T12:43:29.246Z,2016-04-08T17:24:12.638Z,"Avenida Engenheiro Roberto Freire, Natal - RN, Brasil",resource,image/jpeg,98852,2016-03-28T12:43:29.081Z
32,Bello Mare Hotel,reservas@bellomare.com.br,2,"O hotel possui boa localização, próximo dos melhores restaurantes de Ponta Negra e da praia.",-5.86253,-35.19028100000003,11,76,,,www.bellomare.com.br,true,true,2016-03-28T12:43:19.139Z,2016-04-03T00:57:50.995Z,"Rua Pituba, 3165 - Ponta Negra, Natal - RN, Brasil",resource,image/jpeg,28828,2016-03-28T12:43:19.028Z
30,Camarões Restaurante,camaroes@camaroes.com.br,2,"Matriz de um dos restaurantes mais famosos da cidade, oferecendo com a mesma qualidade o cardápio e serviços. Pratos regionais, ambiente moderno e cuidado no atendimento. Fecha das 15:30 às 18:30. Ver no site demais endereços na cidade.",-5.876609,-35.17754000000002,9,87,,(84) 3209-2424,http://www.camaroes.com.br/,true,true,2016-03-28T12:43:17.334Z,2016-04-07T16:53:13.095Z,"Avenida Engenheiro Roberto Freire, 2610 - Ponta Negra, Natal - RN, Brazil",resource,image/jpeg,79445,2016-03-28T12:43:17.181Z
24,Hiper Ponta Negra,,2,Supermercado da rede Walmart localizado na zona sul da cidade.,-5.850242,-35.207633999999985,10,110,,(84) 3646-8000,,true,true,2016-03-28T12:43:12.600Z,2016-04-08T17:30:48.607Z,"Avenida Engenheiro Roberto Freire, Natal - RN, Brasil",resource,image/jpeg,98852,2016-03-28T12:43:12.442Z
27,Banco do Brasil,,2,"Agência Central. Uma das maiores do RN.
Encontre sua agência pelo : www.bb.com.br",-5.775193,-35.20407399999999,8,40,,(84) 3216-4500,,true,true,2016-03-28T12:43:14.758Z,2016-06-06T12:36:32.417Z,"Av.Rio Branco,510, 1.Andar- Natal- RN
CEP: 59025-900
",Banco_do_Brasil.jpg,image/jpeg,13760,2016-06-06T12:36:32.333Z
42,Michelle Tour,marketing@michelletour.com.br,1,Offers national and international tours. Offers 24 hours assistence services.,-5.809676,-35.200977999999964,2,123,,(84) 4009-0677,www.michelletour.com.br,true,true,2016-03-28T12:43:29.981Z,2016-05-03T12:56:39.279Z,"Rua Rui Barbosa, 911 - Tirol, Natal - RN, 59015-290.",michel.jpg,image/jpeg,4344,2016-05-03T12:56:38.644Z
29,Cia do Caldo,,2,"Uma boa pedida depois de um passeio noturno, com várias opções de caldos e sopas típicas ou tradicionais e petiscos variados.",-5.879164,-35.17788100000001,10,65,,(84) 9874-3325,,true,true,2016-03-28T12:43:16.063Z,2016-05-11T03:35:01.107Z,"Avenida Estrela do Mar, 2167 - Ponta Negra, Natal - RN, Brasil",resource,image/jpeg,42124,2016-03-28T12:43:15.901Z
31,Sancho Music Bar,,2,Muita música para reunir os amigos num ambiente descolado no bairro de Ponta Negra.,-5.882606,-35.177121,10,65,,(84) 3219-3258,www.sanchomusic.com.br/,true,true,2016-03-28T12:43:18.249Z,2016-05-11T03:43:11.375Z,"Rua Aristides Porpino Filho, 3163 - Ponta Negra, Natal - RN, Brasil",resource,image/jpeg,33603,2016-03-28T12:43:18.107Z
40,Pepper's Hall,contato@peppershall.com.br,2,"Moderna Dinner Club que combina music bar, gastronomia e boate em um mesmo ambiente, que promete surpreender o público natalense",-5.878965,-35.17546200000004,10,65,,(84) 3236-2886,www.peppershall.com.br,true,true,2016-03-28T12:43:28.044Z,2016-05-11T03:49:08.249Z,"Avenida Engenheiro Roberto Freire, 3071, Natal - RN, Brasil",resource,image/png,7908,2016-03-28T12:43:27.893Z
25,Shopping Estação,shoppingestacao@hotmail.com,2,"Diversas lojas de departamento, lojas comerciais, clinica médica, praça de alimentação, parque de diversões",-5.75993,-35.24705800000004,10,94,,(84) 3662-1660,http://www.shoppingestacaorn.com.br/,true,true,2016-03-28T12:43:13.629Z,2016-05-18T02:23:56.818Z,"Avenida Doutor João Medeiros Filho, 2300 - Potengi, Natal - RN, Brazil",shopping_estaçao.jpg,image/jpeg,6164,2016-05-18T02:23:56.732Z
28,Banco do Brasil Ceasa,,2,Agência dentro da Ceasa,-5.824773,-35.224019,8,40,,(84) 3234-5014,,true,true,2016-03-28T12:43:14.879Z,2016-06-06T12:40:43.214Z,"Av. Capitão-Mor Gouveia, 1564 - Lagoa Nova, Natal - RN, 59063-400",Banco_do_Brasil.jpg,image/jpeg,13760,2016-06-06T12:40:43.132Z
34,Mano a Mano Rent A Car,reservas@manoamanorentacar.com.br,2,Serviços de aluguel de veículos.,-5.870403,-35.17832099999998,8,12,,(84) 9481-5880,www.manoamanorentacar.com.br,true,true,2016-03-28T12:43:21.118Z,2016-06-06T12:54:30.839Z,"Av. Erivan França, 153, Ponta Negra, Natal - RN, Brasil",Mano_a_Mano_Locadora.png,image/png,6337,2016-06-06T12:54:30.732Z
35,Real Rent a Car,,2,Locadora de veículos em Natal.,-5.869844,-35.182000000000016,8,12,,(84) 3236-4300,,true,true,2016-03-28T12:43:22.229Z,2016-06-06T13:26:02.740Z,"A, Avenida Praia de Ponta Negra, 8924 - Ponta Negra, Natal - RN, Brasil",Real_rent_a_car.png,image/png,7036,2016-06-06T13:26:02.658Z
45,Maternidade Escola Januário Cicco,,1,"It is a public maternity of the Federal University of Rio Grande do Norte and it is the most important motherhood in the state. It was founded on March 19th, 1928 and inaugurated on February 2nd, 1950.",-5.781554,-35.197564,4,102,,(84) 3215-5990,,true,true,2016-03-28T12:43:41.384Z,2016-03-28T12:43:41.384Z,"Avenida Nilo Peçanha, 259 (Petrópolis). 59012-300 Natal, Rio Grande do Norte RN",resource,image/jpeg,73404,2016-03-28T12:43:41.183Z
46,Pepper's Hall,,1,"A modern space that mixes music, drinks and great food.",-5.878965,-35.17546200000004,4,56,,(84) 3236-2886,www.peppershall.com.br,true,true,2016-03-28T12:43:42.540Z,2016-03-28T12:43:42.540Z,"Avenida Engenheiro Roberto Freire, 3071, Natal - RN, Brasil",resource,image/png,7908,2016-03-28T12:43:42.403Z
48,Cia do Caldo,,1,A good choice after a night tour with great variety of broths and soups.,-5.879164,-35.17788100000001,4,56,,(84) 9840-0582,,true,true,2016-03-28T12:43:45.259Z,2016-03-28T12:43:45.259Z,"Avenida Estrela do Mar, 2167 - Ponta Negra, Natal - RN, Brasil",resource,image/jpeg,42124,2016-03-28T12:43:45.106Z
52,Natal Hospital Center,,2,Possui diversos serviços como consultas médicas e pronto-atendimento (a emergência funciona 24h). Atende a diversos convênios.,-5.791403,-35.198644,8,34,,(84) 4009-1073,www.nhc.com.br/,true,true,2016-03-28T12:43:51.851Z,2016-03-28T12:43:51.851Z,"Avenida Afonso Pena, 754 - Tirol, Natal - RN, Brazil",resource,image/png,968282,2016-03-28T12:43:51.609Z
55,Catedral Metropolitana,,2,"Mais conhecida como Catedral Nova, a qual é dedicada a Nossa Senhora da Apresentação, padroeira da cidade, foi inaugurada em 21 de novembro de 1988 no bairro do Tirol.",-5.78807,-35.203832000000034,10,115,,(84) 3615-2800,,true,true,2016-03-28T12:43:55.676Z,2016-03-28T12:43:55.676Z,"Avenida Deodoro da Fonseca, S/N - Cidade Alta, Natal - Rio Grande do Norte, Brasil",resource,image/jpeg,43378,2016-03-28T12:43:55.514Z
56,Igreja Batista em Parque dos Coqueiros,,2,Igreja Evangélica,-5.760687,-35.27284800000001,10,115,,(84) 3664-6410,,true,true,2016-03-28T12:43:55.757Z,2016-03-28T12:43:55.757Z,"Rua Vivaldo Cavalcante, 926 - Cj Pq Coqueiros, RN, Brasil",,,,
57,Biblioteca Central Zila Mamede,,1,"The Central Library Zila Mamede is inside the central campus of the Federal University of Rio Grande do Norte. Its collection contains technical and text books, reference collections, multi-media and specialty media. The library is open to the public for consultation.",-5.846283,-35.20840399999997,4,121,,(84) 3215-3841,www.bczm.ufrn.br,true,true,2016-03-28T12:43:58.076Z,2016-03-28T12:43:58.076Z,"Avenida Senador Salgado Filho, 3000 - Candelária, Natal - RN, Brasil",resource,image/jpeg,944109,2016-03-28T12:43:57.614Z
59,Igreja Nossa Senhora Aparecida,secretaria@nsaparecidanatal.com.br,2,"A Paróquia Nossa Senhora Aparecida foi criada por decreto do Arcebispo Dom Alair Villar em 30 de setembro de 1988. Em 2016, portanto, completa 28 anos de existência e desde 1991, é conduzida pelo Padre Antônio Nunes de Araújo. Conta também com os padres José Charles e Edilson Nobre.
Na igreja Nossa Senhora Aparecida acontece a Missa de Cura e Libertação, toda quarta-feira, às 5h e outra às 17h.",-5.857479,-35.209676,10,115,,(84) 3615-2831,,true,true,2016-03-28T12:44:00.280Z,2016-03-28T12:44:00.280Z,"Rua Rondônia, 425 – Neópolis – Natal – RN – CEP: 59080-410",resource,image/jpeg,5361,2016-03-28T12:44:00.149Z
62,Thrifty Car Rental - Natal,nat@thrifty.com.br,1,Car rental service.,-5.890299,-35.24784699999998,2,85,,(84) 3643-1078,www.thrifty.com.br,true,true,2016-03-28T12:44:03.301Z,2016-03-28T12:44:03.301Z,"Av. Coronel Estevam Moura, 75, Centro, São Gonçalo do Amarante/RN.",resource,image/jpeg,14607,2016-03-28T12:44:03.156Z
63,Solamar Rent a Car,,1,Offers car rental service in Natal.,-5.86976,-35.18123600000001,2,85,,(84) 3219-2841,,true,true,2016-03-28T12:44:04.441Z,2016-03-28T12:44:04.441Z,"Rua Manoel Soares Medeiros, 66 - Ponta Negra, Natal - RN, Brasil",resource,image/jpeg,14607,2016-03-28T12:44:04.281Z
300,Igreja Batista de Natal,,2,Igreja Evangélica,5.7866493,35.2046595,10,115,,,,false,true,2016-03-28T12:51:32.888Z,2016-03-28T12:51:32.888Z,"R. Mossoró, 403 - Petrópolis,Natal - RN",resource,image/jpeg,5997,2016-03-28T12:51:32.800Z
51,Shopping Estação,,1,Shopping with affordable prices located in the north of Natal.,-5.75993,-35.24705800000004,4,122,,(84) 3662-1660,,true,true,2016-03-28T12:43:49.747Z,2016-04-08T17:30:37.294Z,"Avenida Doutor João Medeiros Filho, 2300 - Potengi, Natal - RN, Brazil",resource,image/jpeg,27623,2016-03-28T12:43:49.602Z
54,Carrefour,,2,Famosa rede de supermercados no Brasil.,-5.757531,-35.24780499999997,10,110,,(84) 3204-7300,www.carrefour.com.br/natal/,true,true,2016-03-28T12:43:54.441Z,2016-04-08T17:30:48.620Z,"Av Senador Salgado Filho, 3700 - Candelária - Natal, RN",resource,image/jpeg,61396,2016-03-28T12:43:54.219Z
44,Parrachos Praia Clube,comercial@parrachos.com.br,2,"Empresa de turismo e mergulho localizada em Maracajaú. Possui restaurante e oferece passeios de quadriciclo, stand Up e Pau de Arara para o Rio Peracabus.",-5.424574,-35.30061699999999,10,101,,(84) 2010-9434,www.parrachos.com.br,true,true,2016-03-28T12:43:40.223Z,2016-04-20T15:56:19.472Z,"Av. Senador Dinarte Mariz - Maracajaú, CEP: 59580-000 Barra Do Maxaranguape, Rio Grande Do Norte, Brasil
",resource,image/jpeg,146786,2016-03-28T12:43:39.975Z
67,Galpão 29,galpao_29@gmail.com,1,"Place of different styles, blending authenticity and music.",-5.775272,-35.205512999999996,4,56,,(84) 9135-2006,www.galpao29.com,true,true,2016-03-28T12:44:08.660Z,2016-03-28T12:44:08.660Z,"Rua Chile, 29 - Ribeira, Natal - RN, Brazil",resource,image/jpeg,213764,2016-03-28T12:44:08.499Z
69,PC Rent A Car,,1,Offers car rental service in Natal.,-5.857302,-35.19011499999999,2,85,,(84) 3236-3295,,true,true,2016-03-28T12:44:10.659Z,2016-03-28T12:44:10.659Z,"Avenida Engenheiro Roberto Freire, 58, Natal - RN, Brasil",resource,image/jpeg,14607,2016-03-28T12:44:10.429Z
71,LCE Locadora,sac@lcelocadora.com.br,1,Car rental service in Natal,-5.877355,-35.17574300000001,2,85,,(84) 3208-2438,www.lcelocadora.com.br,true,true,2016-03-28T12:44:12.710Z,2016-03-28T12:44:12.710Z,"Rua Francisco Gurgel, 9148 - Ponta Negra, Natal - RN, Brasil",resource,image/jpeg,14607,2016-03-28T12:44:12.577Z
73,Taverna Pub,,1,"Themed bar with medieval characters in its architecture, decor and spaces.",-5.880595,-35.17609300000004,4,56,,(84) 3236-3696,www.tavernapub.com.br,true,true,2016-03-28T12:44:15.798Z,2016-03-28T12:44:15.798Z,"Rua Doutor Manoel Augusto Bezerra de Araújo, 500 - Alto da Ponta Negra, Natal - RN, Brasil",resource,image/jpeg,130555,2016-03-28T12:44:15.554Z
76,Esmeralda Praia Hotel,reservas@esmeraldapraiahotel.com.br,1,Hotel located on the seafront of Ponta Negra beach.,-5.87036,-35.178713000000016,5,2,,(84) 4005-0000,www.esmeraldapraiahotel.com.br/,true,true,2016-03-28T12:44:19.105Z,2016-03-28T12:44:19.105Z,"Rua Francisco Gurgel, 1160 - Ponta Negra, Natal - RN, Brasil",resource,image/jpeg,82729,2016-03-28T12:44:18.921Z
79,Mano a Mano Rent A Car,reservas@manoamanorentacar.com.br,1,Car rental service in Ponta Negra.,-5.870403,-35.17832099999998,2,85,,(84) 9481-5880,www.manoamanorentacar.com.br,true,true,2016-03-28T12:44:22.756Z,2016-03-28T12:44:22.756Z,"Av. Erivan França, 153, Ponta Negra, Natal - RN, Brazil",resource,image/jpeg,14607,2016-03-28T12:44:22.406Z
81,Ocean Palace Beach Resort & Bungalows,reservas@oceanpalace.com.br,1,"With stunning views of the Via Costeira, the hotel offers comfort and excellence around natural beauties.",-5.862159,-35.18060000000003,5,2,,(84) 3220-4144,www.oceanpalace.com.br/,true,true,2016-03-28T12:44:25.517Z,2016-03-28T12:44:25.517Z,"Av. Sen. Dinarte Mariz, 7829 Ponta Negra, Natal - RN, 59090-002",resource,image/jpeg,198080,2016-03-28T12:44:25.334Z
82,Vogue Natal,,1,"Nightclub opened in 1997 focused on the GLBT public with musicbar, stage for bands and dance floor.",-5.859391,-35.215243999999984,4,56,,(84) 3223-4228,www.voguenatal.com.br,true,true,2016-03-28T12:44:27.132Z,2016-03-28T12:44:27.132Z,"Rua José Agnaldo de Barros, 400A - Candelária, Natal - RN, Brasil",resource,image/jpeg,232431,2016-03-28T12:44:26.938Z
85,Danny's Park,,1,"Children's amusement park located in Via Direta Shopping. It has several toys, a ballroom and it can also be used for private events.",-5.840717,-35.20901900000001,4,126,,(84) 3206-1000,,true,true,2016-03-28T12:44:30.652Z,2016-03-28T12:44:30.652Z,"Via Direta Shopping, Senador Salgado Filho, 2233 - Candelaria, Natal - Rio Grande do Norte, Brasil",resource,image/jpeg,47317,2016-03-28T12:44:30.530Z
84,Esmeralda Praia Hotel,reservas@esmeraldapraiahotel.com.br,2,"Hotel localizada à beira mar, na praia de Ponta Negra.",-5.87036,-35.178713000000016,11,76,,,www.esmeraldapraiahotel.com.br/,true,true,2016-03-28T12:44:29.604Z,2016-04-03T00:58:47.367Z,"Rua Francisco Gurgel, 1160 - Ponta Negra, Natal - RN, Brasil",resource,image/jpeg,82729,2016-03-28T12:44:29.468Z
75,Michelle Tour,michelle@michelletour.com.br,2,"Agência de turismo, oferece pacotes nacionais e internacionais, congressos e eventos",-5.809676,-35.200977999999964,8,68,,(84) 4009-0677,www.michelletour.com.br,true,true,2016-03-28T12:44:17.874Z,2016-05-02T14:53:12.446Z,"Rua Rui Barbosa, 911 - Tirol, Natal - RN, 59015-290.",michelle.jpg,image/jpeg,4344,2016-05-02T14:53:12.365Z
83,Tábua de Carne Restaurante,,1,"One of the most traditional of the city. It offers great service, comfort and special regional menu. It closes from 4:00PM to 6:30PM.",-5.879094,-35.175363000000004,1,19,,,www.tabuadecarne.com.br,true,true,2016-03-28T12:44:28.275Z,2016-04-03T19:01:52.989Z,"Av. Eng. Roberto Freire, 3241 - Ponta Negra, Natal - RN, Brazil",resource,image/jpeg,53548,2016-03-28T12:44:28.112Z
86,Harabello Turismo,harabello@harabello.com.br,1,Travel and tourism agencies.,-5.792804,-35.198826999999994,2,123,,(84) 3133-4141,www.harabello.com.br/,true,true,2016-03-28T12:44:31.388Z,2016-05-03T12:58:34.200Z,"Avenida Afonso Pena, 815, Natal - RN, Brasil",hara.jpg,image/jpeg,3798,2016-05-03T12:58:34.118Z
65,Harabello Turismo,harabello@harabello.com.br,2,Agência de viagens e turismo.,-5.792804,-35.198826999999994,8,68,,(84) 3133-4141,www.harabello.com.br/,true,true,2016-03-28T12:44:06.262Z,2016-05-03T12:59:00.205Z,"Avenida Afonso Pena, 815, Natal - RN, Brasil",hara.jpg,image/jpeg,3798,2016-05-03T12:59:00.128Z
72,Vogue Natal,,2,"Casa noturna LGBT, música variada com pop, rock e eletrônico, drinks, ampla pista para curtir até altas horas.",-5.859391,-35.215243999999984,10,65,,(84) 3223-4228,www.voguenatal.com.br,true,true,2016-03-28T12:44:14.338Z,2016-05-11T03:52:17.866Z,"Rua José Agnaldo de Barros, 400A - Candelária, Natal - RN, Brasil",resource,image/jpeg,232431,2016-03-28T12:44:14.138Z
64,Thrifty Car Rental - Natal,nat@thrifty.com.br,2,Locação de veículos.,-5.890299,-35.24784699999998,8,12,,(84) 3643-1078,www.thrifty.com.br,true,true,2016-03-28T12:44:05.456Z,2016-06-06T13:30:57.903Z,"Av. Coronel Estevam Moura, 75, Centro, São Gonçalo do Amarante/RN.",Locadora.png,image/png,4796,2016-06-06T13:30:57.825Z
66,LCE Locadora,sac@lcelocadora.com.br,2,Aluguel de carros em Natal.,-5.877355,-35.17574300000001,8,12,,(84) 3208-2438,www.lcelocadora.com.br,true,true,2016-03-28T12:44:07.187Z,2016-06-06T13:32:43.810Z,"Rua Francisco Gurgel, 9148 - Ponta Negra, Natal - RN, Brasil",Locadora.jpg,image/jpeg,4355,2016-06-06T13:32:43.730Z
68,Duekar Locadora de Veículos,,2,Aluguel de veículos e orientação sobre passeios na cidade.,-5.853339,-35.20563099999998,8,12,,(84) 3217-0058,www.duekar.com.br/,true,true,2016-03-28T12:44:09.635Z,2016-06-06T13:35:53.763Z,"Avenida Ayrton Senna, 357 - Capim Macio, Natal - RN, Brasil",locadora_1.png,image/png,1393,2016-06-06T13:35:53.697Z
